,Docetaxel,Paclitaxel,Temsirolimus,Dactinomycin,Dactinomycin,Topotecan,Teniposide,SL0101,Rapamycin,CDK9_5576,Mitoxantrone,AZD2014,Tanespimycin,Tozasertib,TW 37
Docetaxel,1.0,0.7676767676767676,0.14367816091954022,0.10493827160493827,0.10493827160493827,0.11764705882352941,0.11486486486486487,0.11538461538461539,0.125,0.0,0.07142857142857142,0.10687022900763359,0.12080536912751678,0.08759124087591241,0.10687022900763359
Paclitaxel,0.7676767676767676,1.0,0.11363636363636363,0.1,0.1,0.1037037037037037,0.11724137931034483,0.12698412698412698,0.10714285714285714,0.0,0.07339449541284404,0.11811023622047244,0.11564625850340136,0.08955223880597014,0.10077519379844961
Temsirolimus,0.14367816091954022,0.11363636363636363,1.0,0.19047619047619047,0.19047619047619047,0.10191082802547771,0.09411764705882353,0.09210526315789473,0.8421052631578947,0.0,0.06015037593984962,0.09933774834437085,0.18238993710691823,0.08974358974358974,0.08496732026143791
Dactinomycin,0.10493827160493827,0.1,0.19047619047619047,1.0,1.0,0.10071942446043165,0.09933774834437085,0.11450381679389313,0.18012422360248448,0.0,0.06140350877192982,0.14960629921259844,0.11258278145695365,0.15384615384615385,0.09774436090225563
Dactinomycin,0.10493827160493827,0.1,0.19047619047619047,1.0,1.0,0.10071942446043165,0.09933774834437085,0.11450381679389313,0.18012422360248448,0.0,0.06140350877192982,0.14960629921259844,0.11258278145695365,0.15384615384615385,0.09774436090225563
Topotecan,0.11764705882352941,0.1037037037037037,0.10191082802547771,0.10071942446043165,0.10071942446043165,1.0,0.112,0.12264150943396226,0.09395973154362416,0.0,0.11904761904761904,0.12264150943396226,0.09302325581395349,0.12844036697247707,0.09174311926605505
Teniposide,0.11486486486486487,0.11724137931034483,0.09411764705882353,0.09933774834437085,0.09933774834437085,0.112,1.0,0.14782608695652175,0.1,0.0,0.09183673469387756,0.1092436974789916,0.1,0.0967741935483871,0.09090909090909091
SL0101,0.11538461538461539,0.12698412698412698,0.09210526315789473,0.11450381679389313,0.11450381679389313,0.12264150943396226,0.14782608695652175,1.0,0.08333333333333333,0.0,0.11538461538461539,0.12,0.10743801652892562,0.08411214953271028,0.08737864077669903
Rapamycin,0.125,0.10714285714285714,0.8421052631578947,0.18012422360248448,0.18012422360248448,0.09395973154362416,0.1,0.08333333333333333,1.0,0.0,0.056451612903225805,0.09859154929577464,0.17880794701986755,0.08843537414965986,0.0684931506849315
CDK9_5576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitoxantrone,0.07142857142857142,0.07339449541284404,0.06015037593984962,0.06140350877192982,0.06140350877192982,0.11904761904761904,0.09183673469387756,0.11538461538461539,0.056451612903225805,0.0,1.0,0.07407407407407407,0.10101010101010101,0.07058823529411765,0.11538461538461539
AZD2014,0.10687022900763359,0.11811023622047244,0.09933774834437085,0.14960629921259844,0.14960629921259844,0.12264150943396226,0.1092436974789916,0.12,0.09859154929577464,0.0,0.07407407407407407,1.0,0.08064516129032258,0.1485148514851485,0.12
Tanespimycin,0.12080536912751678,0.11564625850340136,0.18238993710691823,0.11258278145695365,0.11258278145695365,0.09302325581395349,0.1,0.10743801652892562,0.17880794701986755,0.0,0.10101010101010101,0.08064516129032258,1.0,0.11290322580645161,0.08064516129032258
Tozasertib,0.08759124087591241,0.08955223880597014,0.08974358974358974,0.15384615384615385,0.15384615384615385,0.12844036697247707,0.0967741935483871,0.08411214953271028,0.08843537414965986,0.0,0.07058823529411765,0.1485148514851485,0.11290322580645161,1.0,0.1262135922330097
TW 37,0.10687022900763359,0.10077519379844961,0.08496732026143791,0.09774436090225563,0.09774436090225563,0.09174311926605505,0.09090909090909091,0.08737864077669903,0.0684931506849315,0.0,0.11538461538461539,0.12,0.08064516129032258,0.1262135922330097,1.0
