,예측_Train_Spearman,예측_OOF_Spearman,예측_Holdout_Spearman,예측_Train_RMSE,예측_OOF_RMSE,예측_Holdout_RMSE,예측_Train_MAE,예측_OOF_MAE,과적합_Gap(Train-OOF),과적합_Train/Val_Ratio,과적합_Fold별_Spearman_std,과적합_Train_R²,과적합_OOF_R²,일반화_GroupKFold_Spearman,일반화_GroupKFold_RMSE,일반화_UnseenDrug_Spearman,일반화_UnseenDrug_RMSE,일반화_Scaffold_Spearman,일반화_Scaffold_RMSE,일반화_MultiSeed_mean,일반화_MultiSeed_std,일반화_Holdout_R²,일반화_Holdout_MAE,일반화_Pearson,일반화_Kendall_tau,앙상블_개별Best대비향상,앙상블_Gap,앙상블_가중치분포,앙상블_모델간예측상관,랭킹_Precision@30,랭킹_NDCG@30,랭킹_Top30_Overlap,랭킹_Recall@30,랭킹_MAP,랭킹_EF@30,랭킹_MRR
CatBoost,0.936,0.862,0.831,1.074,1.259,1.312,0.763,0.896,0.074,1.086,0.001,0.876,0.743,0.559,,0.353,,0.358,,0.87,0.001,0.691,0.934,,,-0.006,0.086,0.4,0.96,0.7,0.79,0.57,,,,
LightGBM,0.939,0.849,0.825,1.062,1.274,1.318,0.754,0.906,0.09,1.106,0.003,0.879,0.738,0.515,,0.324,,0.329,,0.862,0.003,0.681,0.938,,,,,0.35,0.97,0.67,0.775,0.23,,,,
XGBoost,0.932,0.845,0.822,1.085,1.282,1.325,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
DART,0.895,0.842,0.819,1.156,1.291,1.328,0.821,0.918,0.053,1.063,0.003,0.853,0.731,0.534,,0.316,,0.326,,0.865,0.003,0.675,0.945,,,,,0.1,0.96,0.7,0.785,0.37,,,,
RandomForest,0.895,0.721,0.698,1.156,1.512,1.548,,,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExtraTrees,0.982,0.731,0.705,0.845,1.491,1.532,,,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stacking,0.928,0.838,0.815,1.092,1.295,1.335,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSF,,0.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlatMLP,0.852,0.828,0.806,1.198,1.312,1.345,0.852,0.933,0.024,1.029,0.005,0.836,0.712,0.539,,0.316,,0.313,,0.827,0.005,0.649,0.958,,,,,0.25,0.94,0.7,0.78,0.27,,,,
ResidualMLP,0.846,0.819,0.796,1.205,1.328,1.361,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrossAttention,0.853,0.824,0.801,1.195,1.318,1.352,0.85,0.938,0.029,1.035,0.005,0.837,0.708,0.542,,0.335,,0.32,,0.827,0.005,0.642,0.963,,,,,,1.0,0.6,0.765,0.27,,,,
FT-Transformer,0.841,0.806,0.785,1.218,1.345,1.378,0.867,0.956,0.035,1.043,0.007,0.824,0.691,0.531,,0.312,,0.305,,0.812,0.007,0.616,0.981,,,,,,0.92,0.63,0.755,0.0,,,,
TabNet,0.835,0.798,0.775,1.235,1.362,1.395,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphSAGE,,0.433,,,2.145,,,,,,,,,,,,,0.359,,0.826,0.004,,,,,,,,,,,0.1,,,,
GAT,,0.085,,,2.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
