drug_id,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score,final_rank
1191,-4.8400946,-5.1592407,0.4397889,28,1.0,1,Validated,42.0,1
1817,-4.7611876,-5.024497,0.53340673,26,1.0,2,Validated,41.0,2
1941,-3.73555,-3.8589985,0.8526675,28,1.0,3,Validated,40.0,3
1911,-3.226342,-4.040127,0.90890497,28,1.0,4,Validated,39.0,4
1007,-3.130342,-4.1176643,1.3351738,29,1.0,5,Validated,38.0,5
1004,-2.722351,-2.7355084,1.1758056,27,1.0,7,Validated,36.0,6
1080,-2.6713734,-2.779678,1.2538555,28,1.0,8,Validated,35.0,7
2048,-2.6370814,-2.7805393,1.077534,28,1.0,9,Validated,34.0,8
1811,-2.5954032,-1.8154681,0.7720014,26,1.0,10,Validated,33.0,9
1084,-2.389481,-2.5873635,0.8911311,28,1.0,11,Validated,32.0,10
1034,-2.3275597,-2.5313642,0.66555834,29,1.0,12,Validated,31.0,11
1494,-2.2791002,-2.6124706,1.0167768,28,1.0,13,Validated,30.0,12
1180,-2.1948004,-2.3472707,0.8315313,27,1.0,14,Validated,29.0,13
1559,-1.8684957,-2.1197999,0.73227996,28,1.0,15,Validated,28.0,14
1248,-1.7338777,-2.4797933,0.79795915,15,1.0,16,Validated,27.0,15
